epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,157.711,0.58718,0.53656,0.84918,0.99422,1,0.995,0.8669,0.62099,0.41245,0.83381,0.000198206,0.000198206,0.000198206
91,159.574,0.55949,0.54554,0.86438,0.99422,1,0.995,0.8669,0.62099,0.41245,0.83381,0.000181703,0.000181703,0.000181703
92,162.019,0.47159,0.51428,0.79967,0.99247,1,0.995,0.8846,0.61316,0.40746,0.83111,0.0001652,0.0001652,0.0001652
93,163.764,0.43834,0.47637,0.77972,0.99247,1,0.995,0.8846,0.61316,0.40746,0.83111,0.000148696,0.000148696,0.000148696
94,166.112,0.42491,0.48672,0.796,0.99012,1,0.995,0.88392,0.60984,0.40703,0.83023,0.000132193,0.000132193,0.000132193
95,168.013,0.45378,0.48087,0.82056,0.99012,1,0.995,0.88392,0.60984,0.40703,0.83023,0.00011569,0.00011569,0.00011569
96,170.293,0.47678,0.54911,0.79878,0.98797,1,0.995,0.90093,0.60784,0.413,0.8304,9.91865e-05,9.91865e-05,9.91865e-05
97,172.274,0.40881,0.46482,0.76911,0.98797,1,0.995,0.90093,0.60784,0.413,0.8304,8.26832e-05,8.26832e-05,8.26832e-05
98,174.493,0.4513,0.49702,0.80487,0.98644,1,0.995,0.89976,0.60935,0.41699,0.83122,6.61799e-05,6.61799e-05,6.61799e-05
99,176.213,0.47636,0.49072,0.80614,0.98644,1,0.995,0.89976,0.60935,0.41699,0.83122,4.96766e-05,4.96766e-05,4.96766e-05
100,178.928,0.43445,0.47034,0.8038,0.98616,1,0.995,0.89595,0.60983,0.41795,0.83132,3.31733e-05,3.31733e-05,3.31733e-05
