epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,153.38,0.47404,0.43299,0.81916,0.99227,1,0.995,0.87382,0.64685,0.42771,0.84096,0.00026422,0.00026422,0.00026422
87,154.785,0.49781,0.43177,0.79679,0.99227,1,0.995,0.87382,0.64685,0.42771,0.84096,0.000247716,0.000247716,0.000247716
88,157.064,0.4779,0.45607,0.8111,0.99355,1,0.995,0.87864,0.63079,0.4184,0.83718,0.000231213,0.000231213,0.000231213
89,158.614,0.44291,0.42141,0.80169,0.99355,1,0.995,0.87864,0.63079,0.4184,0.83718,0.00021471,0.00021471,0.00021471
90,160.728,0.5838,0.5323,0.84976,0.99323,1,0.995,0.89729,0.61588,0.41291,0.83258,0.000198206,0.000198206,0.000198206
91,162.556,0.55355,0.53732,0.86309,0.99323,1,0.995,0.89729,0.61588,0.41291,0.83258,0.000181703,0.000181703,0.000181703
92,164.711,0.46944,0.50788,0.79984,0.99179,1,0.995,0.88311,0.61126,0.41086,0.83012,0.0001652,0.0001652,0.0001652
93,166.418,0.43724,0.47389,0.77956,0.99179,1,0.995,0.88311,0.61126,0.41086,0.83012,0.000148696,0.000148696,0.000148696
94,168.823,0.4213,0.47229,0.79653,0.98957,1,0.995,0.88571,0.60976,0.41043,0.82884,0.000132193,0.000132193,0.000132193
95,170.507,0.44948,0.47679,0.82005,0.98957,1,0.995,0.88571,0.60976,0.41043,0.82884,0.00011569,0.00011569,0.00011569
96,172.644,0.47455,0.53823,0.79827,0.98743,1,0.995,0.88885,0.60823,0.41486,0.82908,9.91865e-05,9.91865e-05,9.91865e-05
97,174.497,0.40878,0.46212,0.76957,0.98743,1,0.995,0.88885,0.60823,0.41486,0.82908,8.26832e-05,8.26832e-05,8.26832e-05
98,176.702,0.45332,0.49571,0.8048,0.98623,1,0.995,0.88782,0.60946,0.41901,0.82994,6.61799e-05,6.61799e-05,6.61799e-05
99,178.388,0.47589,0.49186,0.80711,0.98623,1,0.995,0.88782,0.60946,0.41901,0.82994,4.96766e-05,4.96766e-05,4.96766e-05
100,181.177,0.43752,0.47868,0.80429,0.98652,1,0.995,0.88409,0.60823,0.42199,0.83026,3.31733e-05,3.31733e-05,3.31733e-05
